use_2023WWW_generation,/home/mdnd/data_exp_5/Email-EuAll/Email-EuAll.e,5,8.11529,83849167
use_2023WWW_generation,/home/mdnd/data_exp_5/Gowalla_edges/Gowalla_edges.e,2,2.49971,10765667
use_2023WWW_generation,/home/mdnd/data_exp_5/Gowalla_edges/Gowalla_edges.e,3,5.90791,41190838
use_2023WWW_generation,/home/mdnd/data_exp_5/Gowalla_edges/Gowalla_edges.e,4,12.7597,77051033
use_2023WWW_generation,/home/mdnd/data_exp_5/Gowalla_edges/Gowalla_edges.e,5,19.6553,104690571
use_2023WWW_generation,/home/mdnd/data_exp_5/web-NotreDame/web-NotreDame.e,2,1.6923,3747717
use_2023WWW_generation,/home/mdnd/data_exp_5/web-NotreDame/web-NotreDame.e,3,2.43062,9210864
use_2023WWW_generation,/home/mdnd/data_exp_5/web-NotreDame/web-NotreDame.e,4,3.27509,19829488
use_2023WWW_generation,/home/mdnd/data_exp_5/web-NotreDame/web-NotreDame.e,5,5.02389,37298278
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Amazon0302/Amazon0302.e,2,1.57141,2719352
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Amazon0302/Amazon0302.e,3,1.77796,6635046
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Amazon0302/Amazon0302.e,4,1.89481,16995280
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Amazon0302/Amazon0302.e,5,3.78261,41174023
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/com-amazon/com-amazon.e,2,1.49195,2400533
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/com-amazon/com-amazon.e,3,1.67878,4831998
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/com-amazon/com-amazon.e,4,1.70737,10578975
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/com-amazon/com-amazon.e,5,2.49901,23871827
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Email-EuAll/Email-EuAll.e,2,2.65948,3743126
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Email-EuAll/Email-EuAll.e,3,3.98229,29842502
use_2023WWW_generation_optimized,/home/mdnd/data_exp_5/Email-EuAll/Email-EuAll.e,4,5.38999,49137605
