algo,type,data_set,K,index_time(s),size(MB),before_clean_size(MB),query_time(ms),before_clean_query_time(ms),clean_time(s)
Hybrid(CPU+GPU),GPU,DBLP,3,173.738,2857420529,0,1.74861,0,0

#new data

Hybrid,GPU,as-skitter,2,102.337,205522853,0,1.75483,0,0
Hybrid,GPU,as-skitter,3,469.944,3210427498,0,1.74856,0,0
Hybrid,GPU,DBLP,2,61.245,152268153,0,1.7516,0,0
Hybrid,GPU,DBLP,3,187.814,2856765177,0,1.76213,0,0
Hybrid,GPU,facebook_clean_data,2,1.32038,56580947,0,2.56144,0,0
Hybrid,GPU,facebook_clean_data,3,22.0636,455195948,0,1.75804,0,0
Hybrid,GPU,facebook_clean_data,4,50.0919,1053142083,0,1.75868,0,0
Hybrid,GPU,git_web_ml,2,2.26917,16784183,0,1.75293,0,0
Hybrid,GPU,git_web_ml,3,7.47892,103613813,0,1.7488,0,0
Hybrid,GPU,git_web_ml,4,9.59064,262055523,0,1.75761,0,0
Hybrid,GPU,twitch,2,0.396138,10877608,0,2.55584,0,0
Hybrid,GPU,twitch,3,1.72953,37006998,0,1.75324,0,0
Hybrid,GPU,twitch,4,4.26629,75274934,0,1.75171,0,0
Hybrid,GPU,twitch_gamers,2,35.6262,381599006,0,1.75454,0,0
